run,task_name,model_name,method,lora_placement,lora_r,lora_alpha,lora_dropout,max_train_samples,max_train_questions,max_eval_questions,num_negative_candidates,layer_indices,trainable_parameters,train_candidate_examples,eval_candidate_examples,primary_metric,primary_metric_value,answer_selection_accuracy,mrr,matthews_correlation,f1,accuracy,ece,calibration_accuracy,nll,brier,mean_confidence,abstention_rate,coverage,selective_accuracy,ood_mean_confidence,ood_abstention_rate
mrpc_lora_r4_mlp,mrpc,roberta-base,lora,mlp,4,32.0,0.1,,,,,all,960770,,,f1,0.9156193895870736,,,,0.9156193895870736,0.8848039215686274,0.05990567738268303,0.940094322617317,0.32443799015694674,0.17896641652329318,0.9423529666305995,0.11274509803921569,0.8872549019607843,0.925414364640884,,
mrpc_lora_r8_attention,mrpc,roberta-base,lora,attention,8,32.0,0.1,,,,,all,887042,,,f1,0.9036777583187391,,,,0.9036777583187391,0.8651960784313726,0.05163916012663139,0.9483608398733686,0.33511046286192725,0.19479760666068718,0.9105534819343811,0.18872549019607843,0.8112745098039216,0.9244712990936556,,
mrpc_lora_r8_attention_mlp,mrpc,roberta-base,lora,attention_mlp,8,32.0,0.1,,,,,all,1624322,,,f1,0.9222614840989399,,,,0.9222614840989399,0.8921568627450981,0.08191342575691526,0.9180865742430847,0.4014757058855506,0.19012908070801723,0.9715897822481043,0.04656862745098039,0.9534313725490197,0.9023136246786633,,
mrpc_lora_r8_mlp,mrpc,roberta-base,lora,mlp,8,32.0,0.1,,,,,all,1329410,,,f1,0.91651865008881,,,,0.91651865008881,0.8848039215686274,0.08316855108351418,0.9168314489164858,0.38274425250022903,0.1872014904318174,0.9645089256779803,0.056372549019607844,0.9436274509803921,0.9142857142857143,,
rte_lora_r16_attention,rte,roberta-base,lora,attention,16,32.0,0.1,,,,,all,1181954,,,accuracy,0.7111913357400722,,,,,0.7111913357400722,0.11941648711581626,0.8805835128841837,0.5789528757679514,0.39102445984125267,0.8226813146633353,0.36101083032490977,0.6389891696750902,0.8135593220338984,,
rte_lora_r16_attention_mlp,rte,roberta-base,lora,attention_mlp,16,32.0,0.1,,,,,all,2656514,,,accuracy,0.7364620938628159,,,,,0.7364620938628159,0.15711143022045504,0.842888569779545,0.6306917469219192,0.38884563063712235,0.893573524083271,0.21299638989169675,0.7870036101083032,0.8119266055045872,,
rte_lora_r16_mlp,rte,roberta-base,lora,mlp,16,32.0,0.1,,,,,all,2066690,,,accuracy,0.7617328519855595,,,,,0.7617328519855595,0.11370614214469735,0.8862938578553027,0.560388424568769,0.35276377436780193,0.8664213268130297,0.26353790613718414,0.7364620938628159,0.8284313725490197,,
rte_lora_r1_attention,rte,roberta-base,lora,attention,1,32.0,0.1,,,,,all,628994,,,accuracy,0.7111913357400722,,,,,0.7111913357400722,0.0733371694624488,0.9266628305375512,0.5613101973542709,0.3823463910337187,0.777778562760341,0.4981949458483754,0.5018050541516246,0.8273381294964028,,
rte_lora_r1_attention_mlp,rte,roberta-base,lora,attention_mlp,1,32.0,0.1,,,,,all,721154,,,accuracy,0.7472924187725631,,,,,0.7472924187725631,0.08430082673340439,0.9156991732665956,0.5068516734785207,0.33570318317592057,0.8289982083749007,0.3285198555956679,0.6714801444043321,0.8494623655913979,,
rte_lora_r1_mlp,rte,roberta-base,lora,mlp,1,32.0,0.1,,,,,all,684290,,,accuracy,0.7003610108303249,,,,,0.7003610108303249,0.1458209642853508,0.8541790357146493,0.6185719603534929,0.4184334736573165,0.8307457770635138,0.3285198555956679,0.6714801444043321,0.7849462365591398,,
